piece,mode,n_segments,correct,incorrect,accuracy,mean_max_conf,mean_proba_influenced
Bach_Chorale,test,3,0,3,0.0,0.7036507936507936,0.7036507936507936
Invention,test,3,0,3,0.0,0.8010654761904763,0.8010654761904763
Mozart,test,18,16,2,0.8888888888888888,0.9084525012025012,0.14222077922077922
Pagodes,test,24,13,11,0.5416666666666666,0.8353909556878306,0.6200782903439154
Quifut,test,13,11,2,0.8461538461538461,0.7676239038739039,0.7153204850704852
Canope,oof_train,8,4,4,0.5,0.783094494047619,0.4888777281746032
Clavier,oof_train,8,8,0,1.0,0.7880520833333333,0.21194791666666662
Cloches,oof_train,12,8,4,0.6666666666666666,0.828983134920635,0.3594474206349206
Hungarian,oof_train,6,0,6,0.0,0.919625,0.919625
Laider,oof_train,18,14,4,0.7777777777777778,0.7068758818342151,0.4583712522045855
Moonlight,oof_train,17,17,0,1.0,0.8878237628384686,0.11217623716153131
Waldstein,oof_train,35,23,12,0.6571428571428571,0.7512396258503401,0.35063837868480724
