fold,feature,count
fold_1,pentatonicism,78
fold_1,parallel_motion,2
fold_1,density,38
fold_1,rhythm_reg,0
fold_1,syncopation,0
fold_1,melodic_intervals,70
fold_1,register_usage,0
fold_1,articulation,12
fold_1,dynamics,0
fold_2,pentatonicism,159
fold_2,parallel_motion,10
fold_2,density,5
fold_2,rhythm_reg,0
fold_2,syncopation,24
fold_2,melodic_intervals,0
fold_2,register_usage,1
fold_2,articulation,1
fold_2,dynamics,0
fold_3,pentatonicism,192
fold_3,parallel_motion,0
fold_3,density,0
fold_3,rhythm_reg,0
fold_3,syncopation,1
fold_3,melodic_intervals,2
fold_3,register_usage,1
fold_3,articulation,4
fold_3,dynamics,0
fold_4,pentatonicism,11
fold_4,parallel_motion,181
fold_4,density,0
fold_4,rhythm_reg,3
fold_4,syncopation,1
fold_4,melodic_intervals,1
fold_4,register_usage,0
fold_4,articulation,1
fold_4,dynamics,2
fold_5,pentatonicism,95
fold_5,parallel_motion,1
fold_5,density,0
fold_5,rhythm_reg,0
fold_5,syncopation,67
fold_5,melodic_intervals,2
fold_5,register_usage,7
fold_5,articulation,28
fold_5,dynamics,0
